GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,Continent,Country,ISO3,reason,source,reviewed_by,reviewed_at
FL-4224,Madagascar,MDG,Africa,Madagascar,MDG,Africa,4224,Green,1,2015-01-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4224&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4224&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4224,"{'type': 'Point', 'coordinates': [45.921, -19.668]}",,,,,,,
FL-4221,Greece,GRC,Europe,Turkey,TUR,Europe,4221,Green,1,2015-02-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4221&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4221&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4221,"{'type': 'Point', 'coordinates': [26.597, 41.457]}",Europe,Greece,GRC,typo,WIKI,M.H,TUWIEN
FL-4220,Bolivia,BOL,South America,Bolivia,BOL,South America,4220,Green,1,2015-01-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4220&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4220&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4220,"{'type': 'Point', 'coordinates': [-63.767, -16.464]}",,,,,,,
FL-4219,Malawi,MWI,Africa,Mozambique,MOZ,Africa,4219,Orange,2,2015-01-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4219&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4219&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4219,"{'type': 'Point', 'coordinates': [35.356, -18.795]}",Africa,Malawi,MWI,typo,WIKI,M.H,TUWIEN
FL-4218,Australia,AUS,Oceania,Australia,AU1,Oceania,4218,Green,1,2015-01-05T00:00:00,2015-01-11T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4218&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4218&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4218,"{'type': 'Point', 'coordinates': [127.056, -19.188]}",,,,,,,
FL-4217,Philippines,PHL,Asia,Philippines,PHL,Asia,4217,ORANGE,2,2014-12-10T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4217&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4217&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4217,"{'type': 'Point', 'coordinates': [124.903, 8.656]}",,,,,,,
FL-4216,Malaysia,MYS,Asia,Malaysia,MYS,Asia,4216,ORANGE,2,2014-12-20T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4216&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4216&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4216,"{'type': 'Point', 'coordinates': [102.164, 4.725]}",,,,,,,
FL-4215,Sri Lanka,LKA,Asia,Sri Lanka,LKA,Asia,4215,RED,3,2014-12-20T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4215&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4215&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4215,"{'type': 'Point', 'coordinates': [80.983, 7.909]}",,,,,,,
FL-4237,Brazil,BRA,South America,Brazil,BRA,South America,4237,Green,1,2015-02-23T00:00:00,2015-04-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4237&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4237&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4237,"{'type': 'Point', 'coordinates': [-68.913, -9.123]}",,,,,,,
FL-4228,Argentina,ARG,South America,Argentina,ARG,South America,4228,Green,1,2015-02-15T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4228&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4228&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4228,"{'type': 'Point', 'coordinates': [-63.593, -32.381]}",,,,,,,
FL-4227,Dominican Republic,DOM,North America,Dominican Republic,DOM,North America,4227,Green,1,2015-02-20T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4227&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4227&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4227,"{'type': 'Point', 'coordinates': [-69.804, 19.328]}",,,,,,,
FL-4226,Australia,AUS,Oceania,Australia,AU1,Oceania,4226,Green,1,2015-02-22T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4226&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4226&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4226,"{'type': 'Point', 'coordinates': [135.716, -18.2]}",,,,,,,
FL-4225,Bolivia,BOL,South America,Bolivia,BOL,South America,4225,Green,1,2015-02-20T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4225&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4225&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4225,"{'type': 'Point', 'coordinates': [-65.845, -11.505]}",,,,,,,
FL-4223,Australia,AUS,Oceania,Australia,AU1,Oceania,4223,Green,1,2015-02-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4223&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4223&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4223,"{'type': 'Point', 'coordinates': [145.675, -17.871]}",,,,,,,
FL-4222,Indonesia,IDN,Asia,Indonesia,IDN,Asia,4222,Green,1,2015-02-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4222&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4222&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4222,"{'type': 'Point', 'coordinates': [122.862, 0.686]}",,,,,,,
FL-4246,Brazil,BRA,South America,Brazil,BRA,South America,4246,Green,1,2015-04-01T00:00:00,2015-05-02T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4246&episodeid=3,https://www.gdacs.org/report.aspx?eventid=4246&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4246,"{'type': 'Point', 'coordinates': [-67.8, -6.979]}",,,,,,,
FL-4242,Kazakhstan,KAZ,Asia,Kazakhstan,KA1,Asia,4242,Green,1,2015-03-23T00:00:00,2015-04-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4242&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4242&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4242,"{'type': 'Point', 'coordinates': [65.592, 48.404]}",Asia,Kazakhstan,KAZ,typo,WIKI,M.H,TUWIEN
FL-4241,Madagascar,MDG,Africa,Madagascar,MDG,Africa,4241,Green,1,2015-03-05T00:00:00,2015-04-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4241&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4241&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4241,"{'type': 'Point', 'coordinates': [47.01, -18.156]}",,,,,,,
FL-4238,Chile,CHL,South America,Chile,CHL,South America,4238,Green,1,2015-03-25T00:00:00,2015-04-08T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4238&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4238&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4238,"{'type': 'Point', 'coordinates': [-68.888, -22.362]}",,,,,,,
FL-4239,India,IND,Asia,India,IND,Asia,4239,Green,1,2015-03-20T00:00:00,2015-03-31T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4239&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4239&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4239,"{'type': 'Point', 'coordinates': [76.405, 33.176]}",,,,,,,
FL-4235,Brazil,BRA,South America,Brazil,BRA,South America,4235,Green,1,2015-03-15T00:00:00,2015-03-23T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4235&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4235&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4235,"{'type': 'Point', 'coordinates': [-67.725, -7.686]}",,,,,,,
