,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
0,FL-4224,AF020M,Madagascar,MDG,4224,Green,1,2015-01-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4224&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4224&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4224,"{'type': 'Point', 'coordinates': [45.921, -19.668]}"
1,FL-4221,EU020M,Greece,GRC,4221,Green,1,2015-02-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4221&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4221&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4221,"{'type': 'Point', 'coordinates': [26.597, 41.457]}"
2,FL-4220,SA020M,Bolivia,BOL,4220,Green,1,2015-01-05T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4220&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4220&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4220,"{'type': 'Point', 'coordinates': [-63.767, -16.464]}"
3,FL-4219,AF020M,Malawi,MWI,4219,Orange,2,2015-01-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4219&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4219&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4219,"{'type': 'Point', 'coordinates': [35.356, -18.795]}"
4,FL-4218,OC020M,Australia,AUS,4218,Green,1,2015-01-05T00:00:00,2015-01-11T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4218&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4218&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4218,"{'type': 'Point', 'coordinates': [127.056, -19.188]}"
5,FL-4217,OC020M,Philippines,PHL,4217,ORANGE,2,2014-12-10T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4217&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4217&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4217,"{'type': 'Point', 'coordinates': [124.903, 8.656]}"
6,FL-4216,AS020M,Malaysia,MYS,4216,ORANGE,2,2014-12-20T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4216&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4216&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4216,"{'type': 'Point', 'coordinates': [102.164, 4.725]}"
7,FL-4215,AS020M,Sri Lanka,LKA,4215,RED,3,2014-12-20T00:00:00,2015-01-01T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4215&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4215&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4215,"{'type': 'Point', 'coordinates': [80.983, 7.909]}"
8,FL-4237,SA020M,Brazil,BRA,4237,Green,1,2015-02-23T00:00:00,2015-04-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4237&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4237&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4237,"{'type': 'Point', 'coordinates': [-68.913, -9.123]}"
9,FL-4228,SA020M,Argentina,ARG,4228,Green,1,2015-02-15T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4228&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4228&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4228,"{'type': 'Point', 'coordinates': [-63.593, -32.381]}"
10,FL-4227,NA020M,Dominican Republic,DOM,4227,Green,1,2015-02-20T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4227&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4227&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4227,"{'type': 'Point', 'coordinates': [-69.804, 19.328]}"
11,FL-4226,OC020M,Australia,AUS,4226,Green,1,2015-02-22T00:00:00,2015-02-24T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4226&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4226&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4226,"{'type': 'Point', 'coordinates': [135.716, -18.2]}"
