GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,validation_errors
FL-4221,Greece,GRC,Europe,Turkey,TUR,Asia,4221,Green,1,2015-02-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4221&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4221&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4221,"{'type': 'Point', 'coordinates': [26.597, 41.457]}",['country_mismatch']
FL-4219,Malawi,MWI,Africa,Mozambique,MOZ,Africa,4219,Orange,2,2015-01-01T00:00:00,2015-02-09T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4219&episodeid=4,https://www.gdacs.org/report.aspx?eventid=4219&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4219,"{'type': 'Point', 'coordinates': [35.356, -18.795]}",['country_mismatch']
FL-4242,Kazahkstan,,,Kazakhstan,KA1,Asia,4242,Green,1,2015-03-23T00:00:00,2015-04-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4242&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4242&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4242,"{'type': 'Point', 'coordinates': [65.592, 48.404]}",['country_mismatch']
FL-4234,Tanzania,TZA,Africa,United Republic of Tanzania,TZA,Africa,4234,Green,1,2015-03-03T00:00:00,2015-03-23T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4234&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4234&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4234,"{'type': 'Point', 'coordinates': [33.748, -4.315]}",['country_mismatch']
FL-4230,USA,,North America,United States of America,US1,North America,4230,Green,1,2015-03-10T00:00:00,2015-03-23T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4230&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4230&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4230,"{'type': 'Point', 'coordinates': [-86.234, 37.026]}",['country_mismatch']
FL-4250,Columbia,,,Colombia,COL,South America,4250,Green,1,2015-05-01T00:00:00,2015-05-21T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4250&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4250&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4250,"{'type': 'Point', 'coordinates': [-74.505, 5.706]}",['country_mismatch']
FL-4252,USA,,North America,United States of America,US1,North America,4252,Green,1,2015-05-05T00:00:00,2015-06-15T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4252&episodeid=6,https://www.gdacs.org/report.aspx?eventid=4252&episodeid=6&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4252,"{'type': 'Point', 'coordinates': [-97.987, 34.193]}",['country_mismatch']
FL-4254,Tanzania,TZA,Africa,United Republic of Tanzania,TZA,Africa,4254,Green,1,2015-05-07T00:00:00,2015-05-21T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4254&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4254&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4254,"{'type': 'Point', 'coordinates': [36.89, -5.061]}",['country_mismatch']
FL-4271,Camaroun,,,Cameroon,CMR,Africa,4271,Green,1,2015-06-22T00:00:00,2015-06-29T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4271&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4271&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4271,"{'type': 'Point', 'coordinates': [9.884, 3.947]}",['country_mismatch']
FL-4267,USA,,North America,United States of America,US1,North America,4267,Green,1,2015-06-27T00:00:00,2015-06-29T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4267&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4267&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4267,"{'type': 'Point', 'coordinates': [-84.749, 39.394]}",['country_mismatch']
FL-4281,Paraguay,PRY,South America,Argentina,ARG,South America,4281,Green,1,2015-07-25T00:00:00,2015-08-05T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4281&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4281&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4281,"{'type': 'Point', 'coordinates': [-58.273, -25.045]}",['country_mismatch']
FL-4279,USA,,North America,United States of America,US1,North America,4279,Green,1,2015-07-17T00:00:00,2015-07-21T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4279&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4279&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4279,"{'type': 'Point', 'coordinates': [-113.587, 34.115]}",['country_mismatch']
FL-4274,USA,,North America,United States of America,US1,North America,4274,Green,1,2015-07-18T00:00:00,2015-07-21T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4274&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4274&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4274,"{'type': 'Point', 'coordinates': [-83.165, 38.389]}",['country_mismatch']
FL-4284,Macedonia,,,North Macedonia,MKD,Europe,4284,Green,1,2015-08-03T00:00:00,2015-08-05T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4284&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4284&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4284,"{'type': 'Point', 'coordinates': [21.191, 41.758]}",['country_mismatch']
FL-4295,USA,,North America,United States of America,US1,North America,4295,Green,1,2015-10-01T00:00:00,2015-10-13T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4295&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4295&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4295,"{'type': 'Point', 'coordinates': [-80.493, 33.503]}",['country_mismatch']
